Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,31
design__inferred_latch__count,0
design__instance__count,5102
design__instance__area,31585.3
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,124
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.0009605612140148878
power__switching__total,0.00037303142016753554
power__leakage__total,3.362712064358675E-8
power__total,0.0013336263364180923
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.18261620510438373
clock__skew__worst_setup__corner:nom_tt_025C_1v80,-0.18261620510438373
timing__hold__ws__corner:nom_tt_025C_1v80,0.31516368185048427
timing__setup__ws__corner:nom_tt_025C_1v80,16.69018392954347
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.315164
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,17.791145
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,0
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,124
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.32778503061828657
clock__skew__worst_setup__corner:nom_ss_100C_1v60,-0.32778503061828657
timing__hold__ws__corner:nom_ss_100C_1v60,0.8668468410656853
timing__setup__ws__corner:nom_ss_100C_1v60,9.901004740763472
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.866847
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,9.901005
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,124
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.1238765236562443
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,-0.1238765236562443
timing__hold__ws__corner:nom_ff_n40C_1v95,0.11130752190553356
timing__setup__ws__corner:nom_ff_n40C_1v95,17.986643794591416
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.111308
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,20.791067
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,124
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.12034365511409263
clock__skew__worst_setup,-0.3358101669564534
timing__hold__ws,0.10924228497671695
timing__setup__ws,9.736567383489584
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.109242
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,9.736567
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 300.0 300.0
design__core__bbox,5.52 10.88 294.4 288.32
flow__warnings__count,1
flow__errors__count,0
design__io,110
design__die__area,90000
design__core__area,80146.9
design__instance__count__stdcell,5102
design__instance__area__stdcell,31585.3
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.394093
design__instance__utilization__stdcell,0.394093
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
floorplan__design__io,108
design__io__hpwl,14726015
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,69067.1
design__violations,0
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,136
antenna__violating__nets,1
antenna__violating__pins,1
route__antenna_violation__count,1
route__net,2685
route__net__special,2
route__drc_errors__iter:1,1436
route__wirelength__iter:1,78599
route__drc_errors__iter:2,428
route__wirelength__iter:2,77829
route__drc_errors__iter:3,426
route__wirelength__iter:3,77691
route__drc_errors__iter:4,2
route__wirelength__iter:4,77583
route__drc_errors__iter:5,0
route__wirelength__iter:5,77583
route__drc_errors,0
route__wirelength,77583
route__vias,20642
route__vias__singlecut,20642
route__vias__multicut,0
design__disconnected_pin__count,5
design__critical_disconnected_pin__count,0
route__wirelength__max,469.64
timing__unannotated_net__count__corner:nom_tt_025C_1v80,82
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,82
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,82
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,124
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
clock__skew__worst_hold__corner:min_tt_025C_1v80,-0.17838014903412258
clock__skew__worst_setup__corner:min_tt_025C_1v80,-0.17838014903412258
timing__hold__ws__corner:min_tt_025C_1v80,0.312284873466213
timing__setup__ws__corner:min_tt_025C_1v80,16.734642589777355
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
timing__hold_r2r__ws__corner:min_tt_025C_1v80,0.312285
timing__hold_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__setup_vio__count__corner:min_tt_025C_1v80,0
timing__setup_r2r__ws__corner:min_tt_025C_1v80,17.885185
timing__setup_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__unannotated_net__count__corner:min_tt_025C_1v80,82
